vm_id     cpu_cores      cpu_util       cpu_ipcs       cpu_power      cache_miss_rate     dram_power     
5         4-7            0              0.24           26.8364        8.047               7.70428        
5         4-7            1.99801        0.21           26.9657        9.235               6.9619         
5         4-7            0              0.29           25.04          7.842               8.18068        
5         4-7            0              0.32           33.1           7.567               9.84807        
5         4-7            0              0.22           36.416         4.16                6.66021        
5         4-7            1.99777        0.2            33.6305        10.165              9.73489        
5         4-7            0              0.18           31.4005        6.25                8.91308        
5         4-7            0              0.17           28.4451        5.185               6.92129        
5         4-7            3.9956         0.48           26.3478        4.009               7.53484        
5         4-7            0              0.35           26.1472        5.115               8.8174         
